artist,title,year,genre
St. Petersburg Kirov Orchestra / Gergiev,Rimsky-Korsakov: Scheherazade,2002, classical / romantic
Tribal Tech,Tribal Tech,1991,jazz fusion / jazz rock
Beth Gibbons & Orkiestra Symfoniczna PR / Penderecki,Górecki: Symphony No. 3 Symphony of Sorrowful Songs,1976,classical / contemporary classical
Polish National Radio Symphony Orchestra / Camerata Silesia/ Wit,Lutoslawski: Concerto for Orchestra,1954, classical / modern
Berliner Philharmoniker / Herbert von Karajan,Bartók: Concerto for Orchestra,1943, classical / modern
Berliner Philharmoniker / Herbert von Karajan,Bartók: Music for Strings Percussion & Celesta,1936, classical / modern
Steve Reich,Drumming,1971,minimalist music / contemporary classical
Vinnie Colaiuta,Vinnie Colaiuta,1994 ,jazz / fusion / instrumental
Colaiuta / Hasslip / Ford,Jing Chi,1981,jazz fusion
Frank Zappa,Joe’s Garage,1979,progressive rock / experimental / satire rock
Nik Kershaw,The Works,1989,new wave / pop rock
Michael Jackson,Thriller,1982,pop / R&B / funk
Michael Jackson,Bad,1987,pop / R&B / dance
John Coltrane,A Love Supreme,1965,spiritual jazz / modal jazz
Wynton Marsalis / Kenny Kirkland,Black Codes,1985,post-bop / modern jazz
Bruce Springsteen,Streets of Philadelphia,1993,rock / heartland rock
U2,War,1983,rock / post-punk
Fleetwood Mac,Tango In The Night,1987,pop rock / soft rock
Eric Clapton,ERIC CLAPTON 24 NIGHTS Live from Royal Albert,1991,rock / blues / live
Mr. Mister,Welcome to the Real World,1985,pop rock / soft rock
Cutting Crew,Broadcast,1986,rock / pop rock
Chris Rea,On the Beach,1986,blues rock / soft rock
The GRP All-Star Big Band,GRP All-Star Big Band,1992,jazz big band / smooth jazz
Tower of Power,Back to Oakland,1974,funk / soul / jazz fusion
Stevie Wonder,Songs In The Key Of Life,1976,soul / R&B / jazz funk
Paul Young,Every Time You Go Away,1985,soft rock / pop
Czesław Niemen,Aerolit,1985,rock / electronic / progressive rock
Youssou N’Dour,The Guide (Wommat),1994,world music / mbalax / pop
Gary Husband,Dirty And Beautiful,2002,jazz fusion / jazz rock
Jaco Pastorius,Jaco Pastorius,1976,jazz fusion / jazz
Weather Report,Heavy Weather,1977,jazz fusion / jazz rock
Włodek Pawlik Trio,Anhelli,2004,jazz / contemporary jazz
Karizma,Document,2003,jazz fusion / modern jazz
